No.;Wortsatz;Übersetzung
1.;Name;Nama
;Adresse;alamat
;Telefon;telepon
;Geburtsdatum;tanggal lahir
;Geburtsort;Tempat Lahir
;Alter;Usia
;Wohnung;Apartemen
;Räume;Kamar
;Einrichtung;Perabot/fasilitas
;Pflanzen;Tanaman
;Tiere;Binatang/Hewan
;Klima/Wetter;Iklim/cuaca
;Nahrungsmittel;makanan
;Mahlzeiten;Waktu makan
;Speisen;Makanan
;Getränke;Minuman
;Post;Post
;Telekommunikation;Telekomunikasi
;Banken;Bank
;Polizei;Polisi
;Arbeitsplatz;Tempat kerja
;Urlaub;Liburan
;Geschlecht;Jenis kelamin
;Familienstand;Status pernikahan
;Familie;Keluarga
;Persönliche Berziehungen;Hubungan pribadi
;Staatsangehörigkeit;kebangsaan
;Nationalität;kebangsaan
;Herkunft;Asal
;Aussehen;Melihat
;Tagesablauf;Rutinitas sehari-hari
;Haushalt;Rumah tangga
;Reisen;Bepergian
;Unterkunft;Akomodasi
;Gepäck;Bagasi
;Geshäfte;Toko
;Preis;Harga
;Bezahlen;Membayar
;Lebensmittel;Bahan makanan
;Kleidung;Pakaian
;Schule;Sekolah
;Sprachen lernen;Belajar bahasa
;Interessen;Minat
;Sport treiben;Berolahraga/melakukan olahraga
;Radio;Radio
;Fernsehen;Televisi
;Internet;Internet
;Lektüre;Pembacaan/membaca
;Uhr;Pukul/Jam
;die Sekunde;Detik
;die Minute;Menit
;die Stunde;Jam
;der Tag;Hari
;die Woche;Minggu
;die Jahr;Tahun
;der Wochentag;hari dalam seminggu
;der Sonntag;Minggu
;der Montag;Senin
;der Dienstag;Selasa
;der Mittwoch;Rabu
;der Donnerstag;Kamis
;der Freitag;Jumat
;der Samstag;Sabtu
;das Wochenende;Akhir pekan
;der Tag;Hari
;der Morgen;Pagi
;der Vormittag, ße;pagi hari
;der Mittag;tengah hari
;der Nachmittag;sore hari
;der Abend;malam
;die Nacht;malam
;der Januar;bulan Januari
;der Februar;bulan Februari
;der März;bulan Maret
;der April;bulan April
;der Mai;bulan Mei
;der Juni;bulan Juni
;der Juli;bulan Juli
;der August;bulan Agustus
;der September;bulan September
;der Oktober;Oktober
;der November;bulan November
;der Dezember;bulan Desember
;der Frühling;musim semi
;der Sommer;musim panas
;der Herbst;musim gugur
