jerman;indonesia
Name;Nama
Adresse;alamat
Telefon;telepon
Geburtsdatum;tanggal lahir
Geburtsort;Tempat Lahir
Alter;Usia
Wohnung;Apartemen
Räume;Kamar
Einrichtung;Perabot/fasilitas
Pflanzen;Tanaman
Tiere;Binatang/Hewan
Klima/Wetter;Iklim/cuaca
Nahrungsmittel;makanan
Mahlzeiten;Waktu makan
Speisen;Makanan
Getränke;Minuman
Post;Post
Telekommunikation;Telekomunikasi
Banken;Bank
Polizei;Polisi
Arbeitsplatz;Tempat kerja
Urlaub;Liburan
Geschlecht;Jenis kelamin
Familienstand;Status pernikahan
Familie;Keluarga
Persönliche Berziehungen;Hubungan pribadi
Staatsangehörigkeit;kebangsaan
Nationalität;kebangsaan
Herkunft;Asal
Aussehen;Melihat
Tagesablauf;Rutinitas sehari-hari
Haushalt;Rumah tangga
Reisen;Bepergian
Unterkunft;Akomodasi
Gepäck;Bagasi
Geshäfte;Toko
Preis;Harga
Bezahlen;Membayar
Lebensmittel;Bahan makanan
Kleidung;Pakaian
Schule;Sekolah
Sprachen lernen;Belajar bahasa
Interessen;Minat
Sport treiben;Berolahraga/melakukan olahraga
Radio;Radio
Fernsehen;Televisi
Internet;Internet
Lektüre;Pembacaan/membaca
Uhr;Pukul/Jam
die Sekunde;Detik
die Minute;Menit
die Stunde;Jam
der Tag;Hari
die Woche;Minggu
die Jahr;Tahun
der Wochentag, -e;hari dalam seminggu, -e
der Sonntag;Minggu
der Montag;Senin
der Dienstag;Selasa
der Mittwoch;Rabu
der Donnerstag;Kamis
der Freitag;Jumat
der Samstag;Sabtu
das Wochenende;Akhir pekan
der Tag;Hari
der Morgen;Pagi
der Vormittag, ße;pagi hari, e
der Mittag;tengah hari
der Nachmittag;sore hari
der Abend;malam
die Nacht;malam
der Januar;bulan Januari
der Februar;bulan Februari
der März;bulan Maret
der April;bulan April
der Mai;bulan Mei
der Juni;bulan Juni
der Juli;bulan Juli
der August;bulan Agustus
der September;bulan September
der Oktober;Oktober
der November;bulan November
der Dezember;bulan Desember
der Frühling;musim semi
der Sommer;musim panas
der Herbst;musim gugur
der Winter;musim dingin
Euro;Euro
Meter;meter
Zentimeter;sentimeter
Meter fünfzehn;lima belas meter
Kilometer;kilometer
Quadratmeter;meter persegi
ein Grad;gelar
Prozent;persen
Liter;liter
Gramm;gram
Pfund;Pound
Kilo(gramm);Kilogram)
Deutschland;Jerman
die Deutsche;Jerman
Deutscher;Orang Jerman
Europa;Eropa
Europäer;orang Eropa
schwarz;Hitam
weiß;Putih
grau;Abu-abu
rot;Merah
blau;Biru
gelb;Kuning
grün;Hijau
braun;Cokelat
der Norden;Utara
der Süden;Selatan
der Westen;Barat
der Osten;Timur
aber;Tetapi
abfahren;berangkat
die Abfahrt;perpisahan
abgeben;serahkan
abholen;menjemput
der Absender;pengirim
Achtung;Bahaya
die Adresse, -en;alamatnya, -en
allein;sendiri
also;jadi
alt;tua
das Alter;usia
anbieten;menawarkan
das Angebot, -e;tawaran itu, -e
anfangen;mulai
der Anfang;awal mula
anklicken;klik
ankommen;tiba
die Ankuft;kedatangan
ankreuzen;Tandai dengan tanda silang
anmachen;menyalakan/menghidupkan
anmelden;daftar
die Anmeldung;pendaftaran
die Andere;yang lain
anrufen;panggilan
antworten;menjawab
die Ansage, -n;pengumuman, -n
der Anschluss;koneksi
die Anzeige, -n;iklan, -n
(sich) anziehen;(berpakaian
das Apartment;Apartemen
der Apfel;Apel
der Appetit;nafsu makan
arbeiten;bekerja
arbeitlos;Pengangguran
der Arbeitplatz, -ä, e;Tempat kerja, -ä, e
der Arm, -e;orang miskin
der Arzt;dokter
auch;juga
auf;pada
die Aufgabe;tugas
aufhören;berhenti
aufstehen;berdiri
der Aufzug;lift
das Auge, -n;mata, -n
der Ausflug;tamasya
ausfüllen;mengisi
der Ausgang;keluar
der ausländer;orang asing
ausmachen;mematikan, memadamkan
die Aussage, -n;pernyataan
aussehen;Lihat
aus sein;pergi
aussteigen;Keluar
der Ausweis;Kartu identitas
das Auto, -s;Mobil, mobil-mobil
die Autobahn, -en;jalan raya autobahn, jalan tol
der Automat;mesin slot
automatisch;secara otomatis
B;B
das Baby;bayi
die Bäckerei;toko roti
das Bad;kamar mandi
baden;mandi
die Bahn;kereta
der Bahnhof;Stasiun
der Bahnsteig;Jembatan
der Balkon;balkon
die Banane, -n;pisang
die Bank;Bank
der Bauch;perut
der Baum, -ä, e;pohon, -ä, e
der Beamte, -n;Pegawai, pejabat
bedeuten;berarti
beginnen;mulai
beide;keduanya
das Beispiel;Contoh
zum Beispiel;Contohnya, misalnya
bekannt;diketahui
bekommen;menerima
benutzen;menggunakan
der Beruf, -e;profesi, -e
besetzt;sibuk
besichtigen;mengunjungi
besser;lebih baik
bestellen;memesan
besuchen;mengunjungi
das Bett;tempat tidur
bezahlen;membayar
das Bier;birnya
das Bild, -er;gambarnya, -eh
billig;murah
die Birne, -n;buah pir
bis;sampai
bisschen;sedikit
bitte;Tolong
bitten;bertanya
bitter;pahit
bleiben;tetap
der Bleistift, -e;Pensil
der Blick;pandangan
die Blume, -n;bunga
der Bogen;busur
böse;kejahatan
brauchen;membutuhkan
breit;luas
der Brief, -e;surat, -e
die Briefmarke, -n;perangko
bringen;membawa
das Brot, -e;roti, -e
das Brötchen;Roti panggang
der Bruder;Saudara laki-laki
das Buch, -er;buku
der Buchstabe, -n;surat
buchstabieren;mengeja
der Bus, -se;bus, -se
die Butter;mentega
C und D;C dan D
das Cafe, -s;kafe, -s
die CD, -s;CD-CD tersebut
der Chef;bos
circa/ca.;kira-kira.
der Computer;komputer
die Dame, -n;para wanita
daneben;Di samping itu
danken;untuk berterima kasih
der Dank;terima kasih
danke;Terima kasih
dann;Kemudian
das Datum;tanggal
dauern;terakhir
denn;Karena
der, die, das;itu, itu, itu
dich;Anda
dir;Anda
die Disco;disko
der Doktor;dokter
das Doppelzimmer;kamar tidur ganda
das Dorf;Desa
draußen;di luar
drucken;tekan
der Druker;pencetak
drücken;tekan
durch;melalui
